Year	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Atlantic	3,507.87	3,334.98	3,627.74	3,694.69	3,797.37	3,836.57	3,992.99	4,543.85	5,323.58	5,498.50	4,650.90	4,889.50	5,147.90	5,405.00	5,632.10	6,094.60	6,544.60
Bergen	3,161.13	3,231.28	3,292.10	3,267.90	3,292.25	3,279.66	7,281.21	7,844.77	8,448.98	8,966.90	9,378.90	9,738.60	10,113.90	10,326.80	10,476.90	10,642.00	10,825.60
Burlington	3,493.31	3,571.89	3,641.73	3,748.45	3,906.36	4,168.22	4,614.69	4,932.06	5,295.95	5,595.40	5,727.30	5,815.80	6,027.40	6,081.50	6,169.00	6,254.10	6,288.90
Camden	4,141.63	4,223.25	4,379.21	4,568.96	4,804.84	5,082.47	4,187.34	4,494.91	4,878.93	5,103.50	5,311.30	5,428.90	5,670.60	5,859.20	5,968.90	5,957.30	6,098.60
Cape May	2,162.32	2,192.33	2,169.49	2,034.91	2,195.59	1,818.79	3,483.10	3,629.16	3,731.21	3,878.00	4,103.80	4,305.40	4,435.00	4,473.60	4,497.50	4,557.10	4,650.80
Cumberland	5,148.74	5,306.27	5,223.47	5,094.90	3,893.63	4,086.94	2,618.25	2,921.07	3,250.96	3,401.40	3,595.20	3,677.00	3,782.70	3,856.80	3,869.20	3,706.00	3,796.90
Essex	8,687.09	8,907.74	9,153.17	8,641.64	7,608.67	5,728.69	6,947.86	7,315.58	7,844.48	8,400.50	9,136.70	9,505.30	10,202.30	10,515.60	10,705.20	10,590.10	10,895.70
Gloucester	4,372.99	4,396.70	4,571.88	4,720.93	4,026.71	4,373.10	4,121.88	4,468.78	4,819.17	5,142.50	5,516.70	5,714.30	5,963.80	5,855.20	5,912.00	6,079.60	6,232.50
Hudson	4,306.23	4,322.59	4,542.98	4,542.11	5,145.56	5,268.02	4,973.65	5,153.66	5,542.34	5,927.70	6,293.50	6,686.20	7,031.40	7,151.40	7,304.50	7,467.20	8,033.60
Hunterdon	3,250.24	3,368.67	3,522.87	3,495.87	3,140.72	2,991.34	7,240.06	7,680.94	8,199.73	8,570.90	8,687.80	8,818.60	8,930.50	8,931.30	8,908.50	8,968.90	9,020.40
Mercer	4,142.69	3,561.31	3,644.30	3,785.18	4,065.85	4,274.04	5,440.10	5,805.01	6,164.05	6,417.70	6,769.80	6,956.00	7,332.30	7,449.00	7,587.80	7,735.80	7,812.10
Middlesex	3,985.43	3,925.18	4,058.93	4,208.33	4,544.95	4,780.43	5,071.58	5,403.47	5,742.00	6,122.80	6,374.10	6,667.90	6,846.60	7,155.20	7,274.00	7,402.70	7,541.40
Monmouth	3,310.13	3,363.31	3,493.27	3,647.53	3,635.66	3,609.00	6,303.53	6,668.33	6,976.87	7,337.00	7,563.80	7,735.50	7,998.00	8,120.60	8,215.60	8,306.70	8,448.00
Morris	3,414.05	3,354.15	3,204.13	3,222.47	3,050.03	2,913.50	6,762.55	7,284.22	7,849.38	8,289.70	8,670.10	8,919.80	9,133.30	9,318.50	9,395.60	9,547.00	9,665.70
Ocean	2,948.56	3,024.09	3,062.33	3,157.91	3,191.00	3,318.58	3,963.72	4,282.01	4,497.44	4,706.30	4,943.30	5,018.40	5,268.60	5,440.30	5,528.50	5,469.60	5,718.90
Passaic	4,281.67	4,343.80	4,499.66	4,626.49	4,951.92	5,208.05	6,216.07	6,630.17	7,118.19	7,376.50	7,774.60	8,020.40	8,443.00	8,873.10	9,184.30	9,368.00	9,571.90
Salem	3,891.09	4,008.47	4,241.25	4,514.84	3,965.89	4,196.62	3,346.44	3,625.52	3,917.66	4,180.60	4,436.50	4,469.10	4,530.80	4,631.80	4,769.60	4,870.90	4,944.40
Somerset	2,866.29	2,870.96	2,856.92	2,557.14	2,650.25	2,632.05	6,930.41	7,585.55	8,017.55	8,363.00	8,540.10	8,422.80	8,581.60	8,745.50	8,921.90	9,082.60	9,269.30
Sussex	4,157.08	4,293.19	4,440.23	4,686.92	3,892.64	4,030.65	5,243.56	5,465.79	5,765.04	6,089.00	6,307.80	6,566.80	6,795.20	7,001.20	7,115.80	7,144.10	7,242.60
Union	4,771.90	4,647.39	4,762.25	5,043.81	5,524.40	5,975.21	6,615.61	7,009.28	7,491.84	7,911.50	8,337.90	8,639.10	9,057.10	9,472.30	9,657.90	9,932.20	10,241.50
Warren	3,252.79	3,240.29	3,375.79	3,405.49	3,606.02	3,298.17	4,766.22	5,129.22	5,502.43	5,847.20	6,053.70	6,213.00	6,242.20	6,290.50	6,359.30	6,399.20	6,594.20